Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/1/2015 0:00,2015,1,1,0,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 1:00,2015,1,1,1,130,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 2:00,2015,1,1,2,125,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 3:00,2015,1,1,3,131,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 4:00,2015,1,1,4,133,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 5:00,2015,1,1,5,133,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 6:00,2015,1,1,6,131,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 7:00,2015,1,1,7,142,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 8:00,2015,1,1,8,154,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 9:00,2015,1,1,9,153,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 10:00,2015,1,1,10,172,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 11:00,2015,1,1,11,177,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 12:00,2015,1,1,12,195,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 13:00,2015,1,1,13,208,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 14:00,2015,1,1,14,210,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 15:00,2015,1,1,15,206,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 16:00,2015,1,1,16,196,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 17:00,2015,1,1,17,180,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 18:00,2015,1,1,18,190,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 19:00,2015,1,1,19,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 20:00,2015,1,1,20,175,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 21:00,2015,1,1,21,195,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 22:00,2015,1,1,22,201,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2015 23:00,2015,1,1,23,184,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 0:00,2015,1,2,0,163,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 1:00,2015,1,2,1,169,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 2:00,2015,1,2,2,175,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 3:00,2015,1,2,3,171,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 4:00,2015,1,2,4,169,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 5:00,2015,1,2,5,171,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 6:00,2015,1,2,6,162,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 7:00,2015,1,2,7,166,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 8:00,2015,1,2,8,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 9:00,2015,1,2,9,164,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 10:00,2015,1,2,10,183,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 11:00,2015,1,2,11,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 12:00,2015,1,2,12,197,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 13:00,2015,1,2,13,206,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 14:00,2015,1,2,14,209,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 15:00,2015,1,2,15,202,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 16:00,2015,1,2,16,208,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 17:00,2015,1,2,17,201,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 18:00,2015,1,2,18,200,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 19:00,2015,1,2,19,203,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 20:00,2015,1,2,20,222,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 21:00,2015,1,2,21,216,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 22:00,2015,1,2,22,233,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2015 23:00,2015,1,2,23,232,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 0:00,2015,1,3,0,186,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 1:00,2015,1,3,1,174,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 2:00,2015,1,3,2,193,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 3:00,2015,1,3,3,211,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 4:00,2015,1,3,4,196,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 5:00,2015,1,3,5,193,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 6:00,2015,1,3,6,196,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 7:00,2015,1,3,7,191,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 8:00,2015,1,3,8,183,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 9:00,2015,1,3,9,169,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 10:00,2015,1,3,10,162,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 11:00,2015,1,3,11,170,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 12:00,2015,1,3,12,168,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 13:00,2015,1,3,13,170,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 14:00,2015,1,3,14,173,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 15:00,2015,1,3,15,188,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 16:00,2015,1,3,16,168,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 17:00,2015,1,3,17,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 18:00,2015,1,3,18,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 19:00,2015,1,3,19,154,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 20:00,2015,1,3,20,156,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 21:00,2015,1,3,21,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 22:00,2015,1,3,22,160,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 23:00,2015,1,3,23,157,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 0:00,2015,1,4,0,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 1:00,2015,1,4,1,160,µg/m³,1 Hr,Valid
